Autos,0,1,2,3+,Total
0,6.419123523,4.214328188,0.964606546,0.163827035,11.76188529
1,11.53353865,18.94035069,4.459684041,0.462491248,35.39606463
2,5.114964701,13.17090221,16.74058393,1.52687236,36.5533232
3,0.819712223,2.96268085,5.143047765,2.798414159,11.723855
4,0.23150667,0.7532966,1.439325743,2.140742866,4.564871879
Total,24.11884577,40.04155854,28.74724802,7.092347667,100
