Autos,0,1,2,3+,Total
0,3.7443823023093135,4.597966275049047,1.0204581585531007,0.05776557307245456,9.420572308983969
1,8.00080352576596,16.835807161431326,6.4570910142406195,0.45206558285099335,31.745767284289254
2,2.769478812889,11.749165556908482,24.947248299365405,1.8270320437178527,41.292924712880165
3,0.7093898346435374,1.8470665821519954,5.701017755167139,4.757557772210416,13.015031944173213
4+,0.07682852883614442,0.680904893170164,1.3503139005607625,2.4176564271063006,4.525703749673409
Total,15.3008830044439,35.71091046871143,39.47612912788653,9.512077398958152,100.0
