,Unnamed: 0,MPO,SURVEY,SAMPN,DAY,CTFIP,HHVEH,HHSIZ,INCOM,HHWRK,WGTHH,Weight2,IncomeBracket,Autos,Workers,HouseholdSize
10519,10519,2,1,5000651,4,18089,2,1,3,1,,573.00131,35k-60k,2,1,1
10520,10520,2,1,5000657,4,18127,1,1,1,1,,62.99679,0-35k,1,1,1
10521,10521,2,1,5000661,2,18091,3,2,7,2,,24.02957,100k+,3,2,2
10522,10522,2,1,5000675,2,18127,2,3,6,2,,87.10535,60k-100k,2,2,3
10523,10523,2,1,5000689,5,18091,3,3,3,2,,164.85744,35k-60k,3,2,3
10524,10524,2,2,5000727,3,18089,2,5,4,2,,83.67294,35k-60k,2,2,4+
10525,10525,2,2,5000787,2,18089,1,2,1,0,,26.86985,0-35k,1,0,2
10526,10526,2,2,5000788,5,18127,3,3,7,2,,34.87566,100k+,3,2,3
10527,10527,2,1,5000825,5,18089,2,2,4,0,,30.40172,35k-60k,2,0,2
10528,10528,2,1,5000834,5,18127,2,2,7,2,,24.02957,100k+,2,2,2
10529,10529,2,2,5000871,7,18089,2,4,6,2,,34.143375,60k-100k,2,2,4+
10530,10530,2,1,5000906,3,18091,1,1,3,0,,35.63875,35k-60k,1,0,1
10531,10531,2,1,5000915,1,18127,2,1,2,0,,75.22856999999998,0-35k,2,0,1
10532,10532,2,2,5000933,7,18091,1,1,1,0,,31.498395,0-35k,1,0,1
10533,10533,2,2,5000938,4,18089,2,2,7,2,,12.014785,100k+,2,2,2
10534,10534,2,2,5000943,4,18089,2,2,7,0,,6.4315050000000005,100k+,2,0,2
10535,10535,2,1,5000945,4,18089,1,2,9,0,,53.7397,0-35k,1,0,2
10536,10536,2,1,5000956,5,18089,3,3,7,1,,52.31889,100k+,3,1,3
10537,10537,2,2,5000959,5,18127,2,2,6,0,,8.031645,60k-100k,2,0,2
10538,10538,2,1,5000970,1,18091,2,4,5,3,,91.03942,60k-100k,2,3+,4+
10539,10539,2,1,5000995,5,18127,1,1,2,1,,62.99679,0-35k,1,1,1
10540,10540,2,1,5000996,2,18089,1,2,6,0,,13.45144,60k-100k,1,0,2
10541,10541,2,1,5001004,3,18091,3,3,3,3,,164.85744,35k-60k,3,3+,3
10542,10542,2,2,5001013,1,18089,2,2,6,2,,10.78312,60k-100k,2,2,2
10543,10543,2,1,5001015,4,18089,1,2,5,0,,13.45144,60k-100k,1,0,2
10544,10544,2,1,5001017,2,18127,2,3,1,1,,218.58057,0-35k,2,1,3
10545,10545,2,1,5001030,2,18089,3,4,7,3,,72.90164,100k+,3,3+,4+
10546,10546,2,1,5001044,1,18091,1,1,2,1,,75.22856999999998,0-35k,1,1,1
10547,10547,2,1,5001045,2,18089,2,2,6,2,,30.00805,60k-100k,2,2,2
10548,10548,2,2,5001047,1,18127,1,1,1,0,,31.498395,0-35k,1,0,1
10549,10549,2,1,5001076,2,18089,2,2,5,1,,22.50851,60k-100k,2,1,2
10550,10550,2,1,5001082,3,18089,3,2,6,1,,22.50851,60k-100k,3,1,2
10551,10551,2,1,5001108,4,18089,2,2,3,1,,35.67341,35k-60k,2,1,2
10552,10552,2,2,5001128,1,18127,3,2,6,2,,241.2362,60k-100k,3,2,2
10553,10553,2,2,5001149,4,18127,2,2,2,1,,44.96141,0-35k,2,1,2
10554,10554,2,1,5001175,5,18127,2,2,5,1,,22.50851,60k-100k,2,1,2
10555,10555,2,2,5001179,1,18089,2,2,7,2,,10.06127,100k+,2,2,2
10556,10556,2,1,5001186,1,18089,2,4,7,2,,72.90164,100k+,2,2,4+
10557,10557,2,2,5001203,3,18089,2,4,2,1,,136.405195,0-35k,2,1,4+
10558,10558,2,2,5001240,3,18089,2,2,9,2,,24.370955,0-35k,2,2,2
10559,10559,2,2,5001272,1,18089,2,1,9,1,,151.377715,0-35k,2,1,1
10560,10560,2,2,5001281,3,18089,4,3,7,3,,29.205035,100k+,4+,3+,3
10561,10561,2,1,5001282,5,18089,1,1,3,1,,35.63875,35k-60k,1,1,1
10562,10562,2,1,5001287,2,18089,1,2,9,1,,13.45144,0-35k,1,1,2
10563,10563,2,2,5001291,1,18089,1,2,1,0,,26.86985,0-35k,1,0,2
10564,10564,2,1,5001298,1,18127,3,2,7,2,,24.02957,100k+,3,2,2
10565,10565,2,1,5001322,2,18091,3,2,5,1,,13.45144,60k-100k,3,1,2
10566,10566,2,2,5001328,4,18089,1,3,5,1,,32.667975,60k-100k,1,1,3
10567,10567,2,2,5001331,3,18089,4,3,9,2,,82.42872,0-35k,4+,2,3
10568,10568,2,1,5001367,3,18089,2,2,6,1,,22.50851,60k-100k,2,1,2
10569,10569,2,1,5001383,4,18089,2,2,6,2,,30.00805,60k-100k,2,2,2
10570,10570,2,2,5001412,2,18091,1,4,1,2,,136.405195,0-35k,1,2,4+
10571,10571,2,2,5001415,7,18089,2,4,5,2,,45.51971,60k-100k,2,2,4+
10572,10572,2,1,5001434,1,18089,2,2,3,2,,35.67341,35k-60k,2,2,2
10573,10573,2,2,5001437,1,18127,1,1,2,0,,31.498395,0-35k,1,0,1
10574,10574,2,1,5001456,1,18089,1,1,4,1,,573.00131,35k-60k,1,1,1
10575,10575,2,1,5001470,3,18089,1,1,7,1,,15.078829999999998,100k+,1,1,1
10576,10576,2,1,5001491,1,18089,3,4,9,2,,72.90164,0-35k,3,2,4+
10577,10577,2,2,5001497,1,18089,2,2,5,0,,6.72572,60k-100k,2,0,2
10578,10578,2,2,5001556,3,18089,2,2,3,0,,12.729275,35k-60k,2,0,2
10579,10579,2,2,5001566,4,18089,1,1,4,1,,286.500655,35k-60k,1,1,1
10580,10580,2,1,5001571,2,18089,2,2,7,2,,24.02957,100k+,2,2,2
10581,10581,2,2,5001607,5,18089,3,2,5,2,,15.004025,60k-100k,3,2,2
10582,10582,2,1,5001614,1,18089,2,2,5,0,,13.45144,60k-100k,2,0,2
10583,10583,2,1,5001625,4,18091,3,3,6,2,,87.10535,60k-100k,3,2,3
10584,10584,2,1,5001627,1,18089,3,2,1,0,,64.17399,0-35k,3,0,2
10585,10585,2,1,5001640,2,18127,2,2,7,2,,24.02957,100k+,2,2,2
10586,10586,2,1,5001643,1,18089,2,1,2,1,,75.22856999999998,0-35k,2,1,1
10587,10587,2,1,5001668,1,18089,2,2,4,0,,25.45855,35k-60k,2,0,2
10588,10588,2,1,5001679,2,18089,3,2,6,2,,30.00805,60k-100k,3,2,2
10589,10589,2,2,5001680,4,18089,1,3,5,1,,32.667975,60k-100k,1,1,3
10590,10590,2,1,5001687,5,18091,3,2,9,0,,16.06329,0-35k,3,0,2
10591,10591,2,2,5001690,4,18089,3,3,6,2,,43.552675,60k-100k,3,2,3
10592,10592,2,1,5001703,3,18089,4,3,7,2,,69.75131999999999,100k+,4+,2,3
10593,10593,2,1,5001720,2,18089,4,3,7,3,,69.75131999999999,100k+,4+,3+,3
10594,10594,2,2,5001722,1,18089,1,1,6,1,,9.415195,60k-100k,1,1,1
10595,10595,2,1,5001724,5,18091,0,2,1,0,,64.17399,0-35k,0,0,2
10596,10596,2,2,5001736,1,18127,6,2,6,2,,15.004025,60k-100k,4+,2,2
10597,10597,2,2,5001738,1,18127,2,3,5,1,,32.667975,60k-100k,2,1,3
10598,10598,2,2,5001743,2,18089,2,2,6,2,,15.004025,60k-100k,2,2,2
10599,10599,2,1,5001751,4,18089,0,3,1,0,,155.99151,0-35k,0,0,3
10600,10600,2,2,5001755,7,18127,3,5,6,1,,44.2101,60k-100k,3,1,4+
10601,10601,2,2,5001772,2,18089,2,4,1,2,,181.854605,0-35k,2,2,4+
10602,10602,2,2,5001798,1,18089,1,1,2,0,,37.614285,0-35k,1,0,1
10603,10603,2,2,5001801,1,18127,2,2,9,1,,17.836705,0-35k,2,1,2
10604,10604,2,1,5001850,2,18089,2,3,3,1,,123.65596,35k-60k,2,1,3
10605,10605,2,2,5001872,1,18089,7,3,9,1,,26.159445,0-35k,4+,1,3
10606,10606,2,1,5001890,5,18127,3,2,6,1,,22.50851,60k-100k,3,1,2
10607,10607,2,1,5001912,1,18127,1,1,1,0,,62.99679,0-35k,1,0,1
10608,10608,2,2,5001914,7,18127,2,3,6,1,,32.667975,60k-100k,2,1,3
10609,10609,2,1,5002019,2,18089,3,2,7,1,,10.77156,100k+,3,1,2
10610,10610,2,2,5002038,1,18089,2,3,9,1,,61.82798,0-35k,2,1,3
10611,10611,2,2,5002040,1,18127,1,1,4,1,,14.922025,35k-60k,1,1,1
10612,10612,2,2,5002043,3,18089,2,2,4,2,,28.397025,35k-60k,2,2,2
10613,10613,2,1,5002050,1,18091,1,2,5,0,,13.45144,60k-100k,1,0,2
10614,10614,2,1,5002064,1,18091,2,2,7,2,,24.02957,100k+,2,2,2
10615,10615,2,1,5002150,2,18089,2,2,1,2,,1927.5113,0-35k,2,2,2
10616,10616,2,2,5002153,7,18089,1,1,2,0,,31.498395,0-35k,1,0,1
10617,10617,2,1,5002200,3,18089,2,2,7,2,,386.3491,100k+,2,2,2
10618,10618,2,1,5002208,3,18089,0,3,1,0,,186.27968,0-35k,0,0,3
10619,10619,2,2,5002237,3,18127,1,1,9,1,,17.819375,0-35k,1,1,1
10620,10620,2,2,5002241,4,18089,2,2,6,2,,15.004025,60k-100k,2,2,2
10621,10621,2,2,5002250,3,18089,2,2,9,0,,26.86985,0-35k,2,0,2
10622,10622,2,2,5002252,4,18089,1,1,9,1,,17.819375,0-35k,1,1,1
10623,10623,2,2,5002255,1,18089,6,2,7,2,,12.014785,100k+,4+,2,2
10624,10624,2,1,5002282,1,18089,4,2,7,2,,24.02957,100k+,4+,2,2
10625,10625,2,2,5002292,5,18127,2,2,5,1,,11.254255,60k-100k,2,1,2
10626,10626,2,2,5002310,7,18091,3,2,5,2,,241.2362,60k-100k,3,2,2
10627,10627,2,1,5002317,3,18089,1,1,2,1,,62.99679,0-35k,1,1,1
10628,10628,2,1,5002332,2,18089,3,3,6,2,,65.33595,60k-100k,3,2,3
10629,10629,2,2,5002333,1,18127,2,2,2,2,,50.196005,0-35k,2,2,2
10630,10630,2,2,5002341,1,18089,3,4,7,4,,36.45082,100k+,3,3+,4+
