Autos,0-35k,100k+,35k-60k,60k-100k,Total
0,7.260476133151739,0.10517075082455163,1.6420325295261047,0.4128928954815217,9.420572308983969
1,16.368394804834164,1.9074744751742905,8.886289331831248,4.5836086724492064,31.745767284289254
2,9.932080598965605,8.627266476170286,9.080841524142553,13.652736113602238,41.292924712880165
3,3.4759405663108547,3.9038684182560264,2.2533952266904587,3.381827732915766,13.015031944173213
4+,0.7059081590913323,1.5384070547138724,0.8070118003621144,1.4743767355060662,4.525703749673409
Total,37.74280026235311,16.082187175139296,22.669570412552524,23.505442149955062,100.0
