Autos,1,2,3,4+,Total
0,5.316828167,1.920247577,1.727461823,2.904469586,11.86900715
1,14.65425397,7.894069301,6.34163665,8.08939171,36.97935163
2,5.29653493,11.71680787,8.898584547,9.068540409,34.98046776
3,1.425599919,2.942519405,3.472680229,4.000304399,11.84110395
4+,0.497184313,0.991831972,1.113591396,1.727461823,4.330069504
Total,27.1904013,25.46547613,21.55395464,25.79016793,100
