Autos,1,2,3,4+,Total
0,6.834971928,2.250263923,1.001876023,1.260472626,11.3475845
1,18.1182789,8.879685412,3.685978828,4.208622548,34.89256569
2,2.29532701,15.7698782,6.630329907,12.26814326,36.96367838
3,0.333747627,2.516072822,3.661891961,5.526518264,12.03823068
4,0.142043695,0.610017109,0.809869284,3.196010664,4.757940752
Total,27.72436916,30.02591747,15.789946,26.45976736,100
